stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
2-1,recommended,100.0,130.9,110.0,90.0,60.0,143.0,5.00
2-1,balanced,100.0,131.5,109.3,83.3,43.3,142.8,5.00
2-1,physical_only,100.0,130.8,109.5,86.7,50.0,142.8,5.00
2-1,arcane_heavy,100.0,131.1,110.0,90.0,53.3,143.0,5.00
2-1,holy_heavy,100.0,144.3,104.5,6.7,0.0,141.2,5.00
2-1,no_blocker,100.0,130.8,103.0,70.0,10.0,140.7,5.00
2-1,spam_cheapest,93.3,189.9,62.5,3.3,0.0,122.4,5.00
2-1,all_expensive,100.0,133.5,70.8,33.3,0.0,129.9,5.00
2-1,turtle,100.0,147.3,110.0,80.0,0.0,143.0,5.00
2-1,siege_heavy,100.0,146.8,99.8,30.0,3.3,139.6,5.00
2-1,c_only,100.0,130.8,109.5,86.7,50.0,142.8,5.00
2-1,r_only,100.0,130.8,102.8,70.0,6.7,140.6,5.00
2-2,recommended,100.0,130.1,110.0,96.7,63.3,146.0,5.00
2-2,balanced,100.0,131.5,110.0,93.3,56.7,146.0,5.00
2-2,physical_only,100.0,130.7,110.0,93.3,56.7,146.0,5.00
2-2,arcane_heavy,100.0,132.1,107.7,76.7,13.3,145.3,5.00
2-2,holy_heavy,90.0,146.2,82.7,13.3,0.0,129.2,5.00
2-2,no_blocker,100.0,130.1,108.9,93.3,50.0,145.7,5.00
2-2,spam_cheapest,0.0,0.0,0.0,0.0,0.0,14.3,4.03
2-2,all_expensive,100.0,133.2,74.8,43.3,0.0,135.8,5.00
2-2,turtle,90.0,153.8,78.1,23.3,0.0,127.7,5.00
2-2,siege_heavy,100.0,145.2,84.1,10.0,0.0,138.9,5.00
2-2,c_only,100.0,130.3,110.0,96.7,63.3,146.0,5.00
2-2,r_only,100.0,130.2,109.9,93.3,63.3,146.0,5.00
2-3,recommended,100.0,136.1,110.0,90.0,73.3,145.0,6.00
2-3,balanced,100.0,137.6,110.0,86.7,66.7,145.0,6.00
2-3,physical_only,100.0,136.4,110.0,90.0,66.7,145.0,6.00
2-3,arcane_heavy,100.0,138.2,110.0,86.7,66.7,145.0,6.00
2-3,holy_heavy,100.0,150.2,93.0,16.7,3.3,140.0,6.00
2-3,no_blocker,100.0,136.5,104.5,83.3,3.3,143.2,6.00
2-3,spam_cheapest,0.0,0.0,0.0,0.0,0.0,28.7,5.17
2-3,all_expensive,100.0,140.9,81.1,30.0,0.0,135.4,6.00
2-3,turtle,100.0,159.7,110.0,80.0,0.0,145.0,6.00
2-3,siege_heavy,100.0,150.6,106.6,66.7,3.3,144.0,6.00
2-3,c_only,100.0,136.7,110.0,86.7,70.0,145.0,6.00
2-3,r_only,100.0,136.0,110.0,90.0,73.3,145.0,6.00
2-4,recommended,100.0,136.8,110.0,86.7,70.0,138.0,6.00
2-4,balanced,100.0,141.3,110.0,83.3,40.0,138.0,6.00
2-4,physical_only,100.0,138.2,108.6,86.7,50.0,137.8,6.00
2-4,arcane_heavy,100.0,140.2,108.2,66.7,43.3,137.4,6.00
2-4,holy_heavy,90.0,154.5,74.3,10.0,3.3,125.2,5.90
2-4,no_blocker,100.0,136.4,66.2,80.0,0.0,133.1,6.00
2-4,spam_cheapest,26.7,184.6,71.0,3.3,0.0,66.2,5.27
2-4,all_expensive,26.7,140.4,21.1,10.0,0.0,49.0,3.47
2-4,turtle,86.7,153.0,77.3,13.3,0.0,121.6,5.80
2-4,siege_heavy,90.0,150.3,97.2,36.7,3.3,127.4,5.87
2-4,c_only,100.0,137.2,110.0,90.0,63.3,138.0,6.00
2-4,r_only,100.0,136.4,91.3,80.0,6.7,135.2,6.00
2-5,recommended,100.0,137.9,110.0,93.3,63.3,110.0,6.00
2-5,balanced,100.0,142.0,110.0,86.7,43.3,110.0,6.00
2-5,physical_only,100.0,139.3,110.0,83.3,53.3,110.0,6.00
2-5,arcane_heavy,100.0,146.3,110.0,83.3,13.3,110.0,6.00
2-5,holy_heavy,80.0,163.7,88.3,13.3,3.3,94.7,5.90
2-5,no_blocker,100.0,136.0,108.8,86.7,43.3,109.7,6.00
2-5,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.5,3.80
2-5,all_expensive,100.0,141.7,85.5,30.0,0.0,104.7,6.00
2-5,turtle,93.3,172.0,99.4,53.3,0.0,105.3,6.00
2-5,siege_heavy,100.0,156.8,88.2,3.3,0.0,105.1,6.00
2-5,c_only,100.0,139.6,110.0,86.7,50.0,110.0,6.00
2-5,r_only,100.0,136.0,104.0,83.3,0.0,108.5,6.00
2-6,recommended,100.0,138.1,110.0,86.7,56.7,126.0,6.00
2-6,balanced,100.0,141.0,110.0,83.3,33.3,126.0,6.00
2-6,physical_only,100.0,141.9,108.7,60.0,16.7,125.6,6.00
2-6,arcane_heavy,100.0,140.5,110.0,80.0,46.7,126.0,6.00
2-6,holy_heavy,80.0,159.9,74.4,10.0,3.3,105.0,5.80
2-6,no_blocker,100.0,136.7,71.0,80.0,0.0,119.8,6.00
2-6,spam_cheapest,0.0,0.0,0.0,0.0,0.0,30.4,5.10
2-6,all_expensive,53.3,139.1,29.8,30.0,0.0,75.6,4.90
2-6,turtle,100.0,165.4,107.9,63.3,0.0,125.8,6.00
2-6,siege_heavy,100.0,159.2,79.7,20.0,0.0,121.9,6.00
2-6,c_only,100.0,138.0,110.0,86.7,60.0,126.0,6.00
2-6,r_only,100.0,137.2,101.8,76.7,33.3,124.5,6.00
2-7,recommended,100.0,136.4,110.0,90.0,70.0,131.0,6.00
2-7,balanced,100.0,140.7,109.7,83.3,36.7,130.9,6.00
2-7,physical_only,100.0,140.8,109.9,83.3,40.0,131.0,6.00
2-7,arcane_heavy,100.0,141.3,109.3,80.0,30.0,130.8,6.00
2-7,holy_heavy,43.3,154.4,64.8,6.7,0.0,78.5,5.37
2-7,no_blocker,100.0,136.4,105.6,86.7,13.3,129.5,6.00
2-7,spam_cheapest,0.0,0.0,0.0,0.0,0.0,9.0,3.97
2-7,all_expensive,100.0,139.7,70.0,46.7,0.0,121.5,6.00
2-7,turtle,73.3,163.3,35.9,3.3,0.0,100.0,5.70
2-7,siege_heavy,96.7,153.6,40.8,0.0,0.0,113.9,5.93
2-7,c_only,100.0,138.0,110.0,83.3,63.3,131.0,6.00
2-7,r_only,100.0,137.1,109.0,80.0,50.0,130.7,6.00
