stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
2-6,no_blocker,100.0,136.7,70.1,80.0,0.0,119.7,6.00
2-6,spam_cheapest,0.0,0.0,0.0,0.0,0.0,25.8,5.00
2-6,all_expensive,50.0,139.2,31.6,23.3,0.0,72.8,4.77
2-6,turtle,100.0,164.8,108.2,66.7,0.0,125.8,6.00
2-6,siege_heavy,100.0,158.7,83.7,20.0,0.0,122.4,6.00
2-6,c_only,100.0,137.9,110.0,83.3,53.3,126.0,6.00
2-6,r_only,100.0,137.2,102.1,76.7,30.0,124.6,6.00
2-7,recommended,100.0,136.5,110.0,90.0,70.0,131.0,6.00
2-7,balanced,100.0,139.5,109.6,83.3,43.3,130.9,6.00
2-7,physical_only,100.0,141.6,110.0,83.3,33.3,131.0,6.00
2-7,arcane_heavy,100.0,142.1,109.4,80.0,33.3,130.9,6.00
2-7,holy_heavy,43.3,154.0,63.5,3.3,0.0,72.5,5.20
2-7,no_blocker,100.0,136.7,105.2,86.7,10.0,129.4,6.00
2-7,spam_cheapest,0.0,0.0,0.0,0.0,0.0,7.9,3.93
2-7,all_expensive,100.0,139.8,69.0,43.3,0.0,120.9,6.00
2-7,turtle,100.0,153.5,87.2,20.0,0.0,127.0,6.00
2-7,siege_heavy,93.3,153.4,57.1,0.0,0.0,116.3,5.93
2-7,c_only,100.0,138.3,110.0,90.0,53.3,131.0,6.00
2-7,r_only,100.0,136.7,109.2,83.3,56.7,130.7,6.00
2-8,recommended,100.0,135.4,102.0,90.0,0.0,138.4,6.00
2-8,balanced,100.0,136.2,110.0,93.3,70.0,140.0,6.00
2-8,physical_only,100.0,136.0,105.0,83.3,0.0,139.0,6.00
2-8,arcane_heavy,100.0,136.2,110.0,93.3,73.3,140.0,6.00
2-8,holy_heavy,100.0,146.3,45.8,16.7,0.0,127.2,6.00
2-8,no_blocker,100.0,135.7,110.0,93.3,73.3,140.0,6.00
2-8,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.9,3.00
2-8,all_expensive,0.0,0.0,0.0,0.0,0.0,15.7,3.00
2-8,turtle,0.0,0.0,0.0,0.0,0.0,13.2,3.00
2-8,siege_heavy,26.7,147.8,19.4,0.0,0.0,42.3,4.10
2-8,c_only,6.7,135.0,50.0,6.7,0.0,27.4,3.20
2-8,r_only,100.0,135.6,109.9,93.3,73.3,140.0,6.00
2-9,recommended,100.0,137.1,102.3,66.7,10.0,149.5,6.00
2-9,balanced,100.0,140.9,97.1,33.3,10.0,148.5,6.00
2-9,physical_only,100.0,145.0,89.6,23.3,3.3,146.9,6.00
2-9,arcane_heavy,93.3,148.0,69.8,13.3,3.3,140.2,5.93
2-9,holy_heavy,10.0,151.8,40.0,3.3,0.0,28.3,3.33
2-9,no_blocker,100.0,137.3,99.7,76.7,6.7,148.8,6.00
2-9,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.9,3.00
2-9,all_expensive,0.0,0.0,0.0,0.0,0.0,21.8,2.97
2-9,turtle,0.0,0.0,0.0,0.0,0.0,28.3,3.00
2-9,siege_heavy,3.3,148.7,28.0,0.0,0.0,24.3,3.17
2-9,c_only,6.7,143.9,44.0,0.0,0.0,44.9,3.20
2-9,r_only,100.0,141.5,102.3,50.0,3.3,149.6,6.00
2-10,recommended,100.0,215.1,110.0,80.0,0.0,122.0,5.00
2-10,balanced,86.7,242.1,110.0,70.0,0.0,121.9,5.00
2-10,physical_only,100.0,249.2,107.4,10.0,0.0,121.1,5.00
2-10,arcane_heavy,56.7,245.3,106.1,36.7,0.0,121.1,5.00
2-10,holy_heavy,33.3,257.1,70.7,0.0,0.0,61.8,4.43
2-10,no_blocker,10.0,181.2,99.0,0.0,0.0,118.0,5.00
2-10,spam_cheapest,0.0,0.0,0.0,0.0,0.0,23.5,4.00
2-10,all_expensive,33.3,178.8,42.9,0.0,0.0,95.0,4.77
2-10,turtle,63.3,318.7,103.6,26.7,0.0,120.6,5.00
2-10,siege_heavy,53.3,213.3,69.6,3.3,0.0,87.1,4.57
2-10,c_only,26.7,328.1,110.0,26.7,0.0,121.3,5.00
2-10,r_only,93.3,200.6,108.3,60.0,0.0,121.5,5.00
2-11,recommended,100.0,137.5,109.2,86.7,56.7,108.9,6.00
2-11,balanced,100.0,143.8,103.9,60.0,16.7,108.4,6.00
2-11,physical_only,100.0,147.5,109.9,80.0,6.7,109.0,6.00
2-11,arcane_heavy,100.0,151.1,109.6,73.3,6.7,108.9,6.00
